Date,Description,Amount,Type
2026-07-09,SHELL OIL,14.83,DEBIT
2026-07-09,APPLE.COM/BILL,16.07,DEBIT
2026-07-09,STARBUCKS,11.24,DEBIT
2026-07-09,STAPLES,7.42,DEBIT
2026-07-09,FEDEX OFFICE,26.18,DEBIT
2026-07-09,STARBUCKS,8.71,DEBIT
2026-07-09,PARKING METER,31.50,DEBIT
2026-07-10,AIRTABLE PLUS,24.00,DEBIT
2026-07-10,TARGET,14.41,DEBIT
2026-07-10,TARGET,24.59,DEBIT
2026-07-10,LYFT,19.66,DEBIT
2026-07-10,SHELL OIL,4.15,DEBIT
2026-07-10,APPLE.COM/BILL,7.73,DEBIT
2026-07-10,SHELL OIL,13.76,DEBIT
2026-07-11,STRIPE PAYOUT,300.00,CREDIT
2026-07-11,NOTION TEAM PLAN,40.00,DEBIT
2026-07-11,FEDEX OFFICE,26.37,DEBIT
2026-07-11,APPLE.COM/BILL,12.63,DEBIT
2026-07-11,PARKING METER,9.36,DEBIT
2026-07-11,TARGET,5.82,DEBIT
2026-07-11,TARGET,24.73,DEBIT
2026-07-11,STAPLES,12.70,DEBIT
2026-07-12,STRIPE PAYOUT,210.00,CREDIT
2026-07-12,PARKING METER,21.08,DEBIT
2026-07-12,TARGET,30.86,DEBIT
2026-07-12,STAPLES,4.77,DEBIT
2026-07-12,AMAZON MKTPL,37.91,DEBIT
2026-07-12,AMAZON MKTPL,6.15,DEBIT
2026-07-12,PARKING METER,32.17,DEBIT
2026-07-12,PARKING METER,24.61,DEBIT
2026-07-13,STRIPE PAYOUT,165.00,CREDIT
2026-07-13,CANVA TEAMS,29.99,DEBIT
2026-07-13,LYFT,6.70,DEBIT
2026-07-13,LYFT,33.01,DEBIT
2026-07-13,SHELL OIL,10.07,DEBIT
2026-07-13,FEDEX OFFICE,13.26,DEBIT
2026-07-13,STAPLES,24.39,DEBIT
2026-07-13,SHELL OIL,17.85,DEBIT
2026-07-13,STARBUCKS,5.77,DEBIT
2026-07-13,PARKING METER,6.16,DEBIT
2026-07-13,TARGET,12.05,DEBIT
2026-07-14,AMAZON MKTPL,35.65,DEBIT
2026-07-14,PARKING METER,12.62,DEBIT
2026-07-14,STARBUCKS,14.58,DEBIT
2026-07-14,SHELL OIL,18.21,DEBIT
2026-07-14,LYFT,18.57,DEBIT
2026-07-15,STRIPE PAYOUT,275.00,CREDIT
2026-07-15,INSTACART EXPRESS,9.99,DEBIT
2026-07-15,GUSTO PAYROLL,3900.00,DEBIT
2026-07-15,STARBUCKS,20.36,DEBIT
2026-07-15,STARBUCKS,35.90,DEBIT
2026-07-15,STARBUCKS,12.21,DEBIT
2026-07-15,AMAZON MKTPL,25.90,DEBIT
2026-07-15,AMAZON MKTPL,37.86,DEBIT
2026-07-15,APPLE.COM/BILL,29.55,DEBIT
2026-07-15,LYFT,21.11,DEBIT
2026-07-15,STARBUCKS,14.93,DEBIT
2026-07-16,APPLE.COM/BILL,35.15,DEBIT
2026-07-16,LYFT,19.42,DEBIT
2026-07-16,UBER,12.62,DEBIT
2026-07-16,AMAZON MKTPL,13.49,DEBIT
2026-07-16,FEDEX OFFICE,26.97,DEBIT
2026-07-17,STRIPE PAYOUT,190.00,CREDIT
2026-07-17,AHREFS LITE,99.00,DEBIT
2026-07-17,UBER,3.62,DEBIT
2026-07-17,APPLE.COM/BILL,12.71,DEBIT
2026-07-17,UBER,23.50,DEBIT
2026-07-17,SHELL OIL,9.56,DEBIT
2026-07-17,STARBUCKS,11.90,DEBIT
2026-07-17,FEDEX OFFICE,8.62,DEBIT
2026-07-17,FEDEX OFFICE,9.78,DEBIT
2026-07-18,SPOTIFY FAMILY ADDON,16.05,DEBIT
2026-07-18,AWS CLOUD SERVICES,355.12,DEBIT
2026-07-18,TARGET,8.43,DEBIT
2026-07-18,STAPLES,29.25,DEBIT
2026-07-18,AMAZON MKTPL,36.11,DEBIT
2026-07-18,APPLE.COM/BILL,11.32,DEBIT
2026-07-18,STARBUCKS,30.80,DEBIT
2026-07-18,STAPLES,27.52,DEBIT
2026-07-18,TARGET,6.97,DEBIT
2026-07-19,MAILCHIMP STANDARD,60.00,DEBIT
2026-07-19,PARKING METER,34.84,DEBIT
2026-07-19,APPLE.COM/BILL,19.26,DEBIT
2026-07-19,STARBUCKS,16.43,DEBIT
2026-07-19,UBER,13.07,DEBIT
2026-07-19,UBER,9.76,DEBIT
2026-07-19,PARKING METER,11.65,DEBIT
2026-07-19,LYFT,23.60,DEBIT
2026-07-19,PARKING METER,36.37,DEBIT
2026-07-19,STAPLES,35.89,DEBIT
2026-07-19,STARBUCKS,36.43,DEBIT
2026-07-20,UBER,33.21,DEBIT
2026-07-20,STAPLES,24.51,DEBIT
2026-07-20,STAPLES,6.28,DEBIT
2026-07-20,APPLE.COM/BILL,16.71,DEBIT
2026-07-20,STAPLES,17.96,DEBIT
2026-07-20,AMAZON MKTPL,16.41,DEBIT
2026-07-20,PARKING METER,24.11,DEBIT
2026-07-20,UBER,12.33,DEBIT
2026-07-21,STRIPE PAYOUT,225.00,CREDIT
2026-07-21,STRIPE PAYOUT,140.00,CREDIT
2026-07-21,LOOM BUSINESS,12.50,DEBIT
2026-07-21,STAPLES,28.65,DEBIT
2026-07-21,LYFT,13.63,DEBIT
2026-07-21,LYFT,30.33,DEBIT
2026-07-21,AMAZON MKTPL,26.88,DEBIT
2026-07-21,LYFT,13.33,DEBIT
2026-07-21,FEDEX OFFICE,17.93,DEBIT
2026-07-21,UBER,36.78,DEBIT
2026-07-22,DOORDASH DASHPASS,9.99,DEBIT
2026-07-22,LYFT,24.52,DEBIT
2026-07-22,STAPLES,19.82,DEBIT
2026-07-22,STARBUCKS,11.14,DEBIT
2026-07-22,FEDEX OFFICE,31.41,DEBIT
2026-07-23,HULU,7.99,DEBIT
2026-07-23,PARKING METER,37.18,DEBIT
2026-07-23,SHELL OIL,26.87,DEBIT
2026-07-23,AMAZON MKTPL,23.38,DEBIT
2026-07-23,PARKING METER,22.14,DEBIT
2026-07-23,FEDEX OFFICE,14.67,DEBIT
2026-07-23,LYFT,20.91,DEBIT
2026-07-23,STARBUCKS,31.57,DEBIT
2026-07-23,STAPLES,16.50,DEBIT
2026-07-24,GRAMMARLY BUSINESS,25.00,DEBIT
2026-07-24,BLUE BOTTLE / RESTAURANTS,28.00,DEBIT
2026-07-24,SHELL OIL,15.20,DEBIT
2026-07-24,LYFT,4.39,DEBIT
2026-07-25,STRIPE PAYOUT,310.00,CREDIT
2026-07-25,LYFT,12.08,DEBIT
2026-07-25,APPLE.COM/BILL,4.32,DEBIT
2026-07-25,TARGET,35.68,DEBIT
2026-07-25,TARGET,34.69,DEBIT
2026-07-25,AMAZON MKTPL,24.55,DEBIT
2026-07-26,NOTION PRO SEAT,10.00,DEBIT
2026-07-26,AMAZON MKTPL,11.25,DEBIT
2026-07-26,SHELL OIL,35.98,DEBIT
2026-07-26,FEDEX OFFICE,26.31,DEBIT
2026-07-26,TARGET,4.78,DEBIT
2026-07-26,APPLE.COM/BILL,7.69,DEBIT
2026-07-27,STRIPE PAYOUT,205.00,CREDIT
2026-07-27,DROPBOX PLUS,11.99,DEBIT
2026-07-27,UBER,34.51,DEBIT
2026-07-27,LYFT,36.19,DEBIT
2026-07-27,FEDEX OFFICE,5.39,DEBIT
2026-07-27,FEDEX OFFICE,12.63,DEBIT
2026-07-28,FEDEX OFFICE,18.10,DEBIT
2026-07-28,AMAZON MKTPL,26.58,DEBIT
2026-07-28,LYFT,6.03,DEBIT
2026-07-28,TARGET,18.75,DEBIT
2026-07-28,LYFT,22.96,DEBIT
2026-07-28,UBER,27.31,DEBIT
2026-07-28,STAPLES,28.37,DEBIT
2026-07-28,LYFT,23.44,DEBIT
2026-07-28,LYFT,29.24,DEBIT
2026-07-28,STARBUCKS,14.16,DEBIT
2026-07-28,AMAZON MKTPL,29.28,DEBIT
2026-07-29,STRIPE PAYOUT,175.00,CREDIT
2026-07-29,STRIPE PAYOUT,260.00,CREDIT
2026-07-29,CALENDLY PREMIUM,14.99,DEBIT
2026-07-29,FEDEX OFFICE,17.28,DEBIT
2026-07-29,TARGET,7.67,DEBIT
2026-07-29,STAPLES,11.44,DEBIT
2026-07-29,LYFT,30.36,DEBIT
2026-07-29,SHELL OIL,7.46,DEBIT
2026-07-29,STAPLES,17.58,DEBIT
2026-07-29,FEDEX OFFICE,31.17,DEBIT
2026-07-29,PARKING METER,29.52,DEBIT
2026-07-29,STARBUCKS,35.08,DEBIT
2026-07-29,PARKING METER,26.16,DEBIT
2026-07-30,ADOBE TRIAL UPGRADE,14.99,DEBIT
2026-07-30,USPS POSTAGE,41.20,DEBIT
2026-07-30,STARBUCKS,14.03,DEBIT
2026-07-30,AMAZON MKTPL,14.08,DEBIT
2026-07-30,APPLE.COM/BILL,23.23,DEBIT
2026-07-30,AMAZON MKTPL,30.26,DEBIT
2026-07-30,STARBUCKS,7.24,DEBIT
2026-07-30,APPLE.COM/BILL,23.73,DEBIT
2026-07-30,SHELL OIL,19.08,DEBIT
2026-07-30,STAPLES,11.29,DEBIT
2026-07-31,STARBUCKS,5.94,DEBIT
2026-07-31,UBER,36.93,DEBIT
2026-07-31,FEDEX OFFICE,5.84,DEBIT
2026-07-31,FEDEX OFFICE,29.36,DEBIT
2026-07-31,FEDEX OFFICE,15.06,DEBIT
2026-07-31,TARGET,22.65,DEBIT
2026-07-31,TARGET,18.84,DEBIT
2026-07-31,PARKING METER,4.01,DEBIT
2026-07-31,UBER,7.85,DEBIT
2026-07-31,STAPLES,19.27,DEBIT
2026-08-01,GOOGLE WORKSPACE,36.00,DEBIT
2026-08-01,GUSTO PAYROLL,3900.00,DEBIT
2026-08-01,PARKING METER,13.11,DEBIT
2026-08-01,SHELL OIL,31.18,DEBIT
2026-08-01,PARKING METER,4.34,DEBIT
2026-08-01,SHELL OIL,20.56,DEBIT
2026-08-01,TARGET,12.44,DEBIT
2026-08-01,UBER,29.52,DEBIT
2026-08-01,AMAZON MKTPL,14.62,DEBIT
2026-08-01,AMAZON MKTPL,6.44,DEBIT
2026-08-01,STARBUCKS,25.91,DEBIT
2026-08-01,PARKING METER,31.85,DEBIT
2026-08-02,STRIPE PAYOUT,195.00,CREDIT
2026-08-02,AMAZON MKTPL,32.68,DEBIT
2026-08-03,STRIPE PAYOUT,185.00,CREDIT
2026-08-03,1PASSWORD TEAMS,19.95,DEBIT
2026-08-03,BLUE BOTTLE / RESTAURANTS,55.40,DEBIT
2026-08-03,TARGET,3.61,DEBIT
2026-08-03,APPLE.COM/BILL,27.22,DEBIT
2026-08-03,AMAZON MKTPL,9.66,DEBIT
2026-08-03,LYFT,27.21,DEBIT
2026-08-03,PARKING METER,6.08,DEBIT
2026-08-03,LYFT,12.53,DEBIT
2026-08-03,LYFT,18.37,DEBIT
2026-08-03,UBER,24.09,DEBIT
2026-08-04,STRIPE PAYOUT,230.00,CREDIT
2026-08-04,FIGMA PROFESSIONAL,45.00,DEBIT
2026-08-04,AMAZON MKTPL,27.64,DEBIT
2026-08-04,AMAZON MKTPL,21.06,DEBIT
2026-08-04,STAPLES,20.81,DEBIT
2026-08-04,AMAZON MKTPL,4.50,DEBIT
2026-08-04,UBER,26.75,DEBIT
2026-08-04,FEDEX OFFICE,18.75,DEBIT
2026-08-04,APPLE.COM/BILL,19.59,DEBIT
2026-08-04,APPLE.COM/BILL,32.06,DEBIT
2026-08-05,LINEAR STANDARD,16.00,DEBIT
2026-08-05,RETAINER PAYMENT INITECH,1200.00,CREDIT
2026-08-05,LYFT,25.38,DEBIT
2026-08-05,TARGET,25.12,DEBIT
2026-08-05,FEDEX OFFICE,17.58,DEBIT
2026-08-05,STARBUCKS,5.59,DEBIT
2026-08-05,STARBUCKS,7.46,DEBIT
2026-08-05,FEDEX OFFICE,37.94,DEBIT
2026-08-05,TARGET,29.87,DEBIT
2026-08-05,STAPLES,35.71,DEBIT
2026-08-06,STRIPE PAYOUT,160.00,CREDIT
2026-08-06,SLACK PRO,33.75,DEBIT
2026-08-06,STAPLES,8.86,DEBIT
2026-08-06,TARGET,6.17,DEBIT
2026-08-06,AMAZON MKTPL,4.63,DEBIT
2026-08-06,AMAZON MKTPL,31.81,DEBIT
2026-08-06,STARBUCKS,18.33,DEBIT
2026-08-06,PARKING METER,16.05,DEBIT
2026-08-06,STAPLES,26.90,DEBIT
2026-08-06,TARGET,19.43,DEBIT
2026-08-06,STAPLES,18.10,DEBIT
2026-08-06,TARGET,25.94,DEBIT
2026-08-07,VERCEL PRO,20.00,DEBIT
2026-08-07,UBER,26.31,DEBIT
2026-08-07,TARGET,8.84,DEBIT
2026-08-07,STARBUCKS,17.38,DEBIT
2026-08-07,STARBUCKS,30.97,DEBIT
2026-08-07,LYFT,22.47,DEBIT
2026-08-08,STRIPE PAYOUT,290.00,CREDIT
2026-08-08,ADOBE CREATIVE CLOUD,54.99,DEBIT
2026-08-08,LYFT,33.53,DEBIT
2026-08-08,PARKING METER,26.67,DEBIT
2026-08-08,LYFT,28.33,DEBIT
2026-08-08,STAPLES,32.26,DEBIT
2026-08-08,APPLE.COM/BILL,7.02,DEBIT
2026-08-08,TARGET,34.84,DEBIT
2026-08-08,AMAZON MKTPL,19.26,DEBIT
2026-08-08,TARGET,18.76,DEBIT
2026-08-08,LYFT,21.37,DEBIT
2026-08-08,AMAZON MKTPL,7.82,DEBIT
2026-08-08,STAPLES,13.49,DEBIT
2026-08-08,APPLE.COM/BILL,13.13,DEBIT
2026-08-08,APPLE.COM/BILL,35.98,DEBIT
2026-08-09,ZOOM PRO,14.99,DEBIT
2026-08-09,STARBUCKS,33.82,DEBIT
2026-08-09,FEDEX OFFICE,37.66,DEBIT
2026-08-09,LYFT,5.56,DEBIT
2026-08-09,STAPLES,6.21,DEBIT
2026-08-09,APPLE.COM/BILL,21.92,DEBIT
2026-08-09,STAPLES,19.61,DEBIT
2026-08-10,STRIPE PAYOUT,215.00,CREDIT
2026-08-10,AIRTABLE PLUS,24.00,DEBIT
2026-08-10,STAPLES,5.60,DEBIT
2026-08-10,FEDEX OFFICE,23.00,DEBIT
2026-08-10,STARBUCKS,28.63,DEBIT
2026-08-10,APPLE.COM/BILL,12.87,DEBIT
2026-08-10,LYFT,28.38,DEBIT
2026-08-10,STAPLES,16.61,DEBIT
2026-08-10,FEDEX OFFICE,6.04,DEBIT
2026-08-10,STAPLES,22.88,DEBIT
2026-08-10,STARBUCKS,35.71,DEBIT
2026-08-11,NOTION TEAM PLAN,40.00,DEBIT
2026-08-11,STAPLES,11.08,DEBIT
2026-08-11,STARBUCKS,10.80,DEBIT
2026-08-11,UBER,20.55,DEBIT
2026-08-11,LYFT,34.88,DEBIT
2026-08-11,LYFT,34.52,DEBIT
2026-08-11,PARKING METER,16.27,DEBIT
2026-08-11,PARKING METER,22.32,DEBIT
2026-08-12,STRIPE PAYOUT,170.00,CREDIT
2026-08-12,ZENITH TRAVEL,844.00,DEBIT
2026-08-12,SHELL OIL,4.36,DEBIT
2026-08-12,STAPLES,20.21,DEBIT
2026-08-12,FEDEX OFFICE,33.63,DEBIT
2026-08-12,LYFT,30.12,DEBIT
2026-08-12,UBER,6.96,DEBIT
2026-08-13,CANVA TEAMS,29.99,DEBIT
2026-08-13,PARKING METER,10.93,DEBIT
2026-08-13,AMAZON MKTPL,30.02,DEBIT
2026-08-13,LYFT,5.59,DEBIT
2026-08-13,FEDEX OFFICE,10.77,DEBIT
2026-08-13,FEDEX OFFICE,26.55,DEBIT
2026-08-13,AMAZON MKTPL,29.26,DEBIT
2026-08-13,SHELL OIL,17.98,DEBIT
2026-08-13,TARGET,7.07,DEBIT
2026-08-13,SHELL OIL,17.60,DEBIT
2026-08-13,TARGET,19.52,DEBIT
2026-08-13,STARBUCKS,30.92,DEBIT
2026-08-13,TARGET,34.97,DEBIT
2026-08-14,STAPLES,12.65,DEBIT
2026-08-14,LYFT,18.74,DEBIT
2026-08-14,AMAZON MKTPL,35.29,DEBIT
2026-08-14,STAPLES,21.09,DEBIT
2026-08-14,APPLE.COM/BILL,31.68,DEBIT
2026-08-14,STARBUCKS,28.83,DEBIT
2026-08-14,TARGET,14.44,DEBIT
2026-08-15,INSTACART EXPRESS,9.99,DEBIT
2026-08-15,GUSTO PAYROLL,3900.00,DEBIT
2026-08-15,STARBUCKS,9.11,DEBIT
2026-08-15,APPLE.COM/BILL,26.51,DEBIT
2026-08-15,SHELL OIL,19.96,DEBIT
2026-08-15,PARKING METER,20.32,DEBIT
2026-08-15,AMAZON MKTPL,24.21,DEBIT
2026-08-15,AMAZON MKTPL,23.90,DEBIT
2026-08-15,AMAZON MKTPL,29.28,DEBIT
2026-08-15,STARBUCKS,18.93,DEBIT
2026-08-16,STRIPE PAYOUT,250.00,CREDIT
2026-08-16,FEDEX OFFICE,34.05,DEBIT
2026-08-16,PARKING METER,4.94,DEBIT
2026-08-16,TARGET,7.14,DEBIT
2026-08-16,APPLE.COM/BILL,13.72,DEBIT
2026-08-16,STAPLES,33.74,DEBIT
2026-08-16,TARGET,18.97,DEBIT
2026-08-16,TARGET,32.20,DEBIT
2026-08-16,TARGET,5.01,DEBIT
2026-08-16,LYFT,21.56,DEBIT
2026-08-16,STARBUCKS,29.85,DEBIT
2026-08-17,AHREFS LITE,99.00,DEBIT
2026-08-17,LYFT,33.83,DEBIT
2026-08-17,PARKING METER,22.32,DEBIT
2026-08-17,TARGET,27.63,DEBIT
2026-08-17,PARKING METER,16.91,DEBIT
2026-08-17,LYFT,18.40,DEBIT
2026-08-17,TARGET,4.80,DEBIT
2026-08-17,UBER,25.43,DEBIT
2026-08-17,STARBUCKS,12.93,DEBIT
2026-08-17,TARGET,27.38,DEBIT
2026-08-17,TARGET,36.23,DEBIT
2026-08-17,SHELL OIL,8.01,DEBIT
2026-08-18,STRIPE PAYOUT,200.00,CREDIT
2026-08-18,STRIPE PAYOUT,145.00,CREDIT
2026-08-18,SPOTIFY FAMILY ADDON,16.05,DEBIT
2026-08-18,AWS CLOUD SERVICES,329.40,DEBIT
2026-08-18,STAPLES,7.81,DEBIT
2026-08-18,FEDEX OFFICE,5.69,DEBIT
2026-08-18,PARKING METER,5.23,DEBIT
2026-08-18,STARBUCKS,29.76,DEBIT
2026-08-18,AMAZON MKTPL,23.36,DEBIT
2026-08-18,APPLE.COM/BILL,30.26,DEBIT
2026-08-18,STAPLES,29.82,DEBIT
2026-08-18,STAPLES,28.07,DEBIT
2026-08-18,LYFT,14.18,DEBIT
2026-08-18,FEDEX OFFICE,30.22,DEBIT
2026-08-19,MAILCHIMP STANDARD,60.00,DEBIT
2026-08-19,PARKING METER,16.57,DEBIT
2026-08-19,FEDEX OFFICE,24.00,DEBIT
2026-08-19,STAPLES,16.40,DEBIT
2026-08-19,UBER,13.51,DEBIT
2026-08-20,STARBUCKS,11.73,DEBIT
2026-08-20,STARBUCKS,25.00,DEBIT
2026-08-20,STARBUCKS,6.62,DEBIT
2026-08-20,AMAZON MKTPL,5.07,DEBIT
2026-08-20,UBER,17.81,DEBIT
2026-08-20,PARKING METER,21.77,DEBIT
2026-08-20,TARGET,4.30,DEBIT
2026-08-20,PARKING METER,37.14,DEBIT
2026-08-20,STAPLES,16.60,DEBIT
2026-08-21,LOOM BUSINESS,12.50,DEBIT
2026-08-21,BLUE BOTTLE / RESTAURANTS,31.10,DEBIT
2026-08-21,APPLE.COM/BILL,28.10,DEBIT
2026-08-21,FEDEX OFFICE,23.13,DEBIT
2026-08-21,LYFT,31.86,DEBIT
2026-08-21,TARGET,13.44,DEBIT
2026-08-21,APPLE.COM/BILL,18.53,DEBIT
2026-08-21,APPLE.COM/BILL,24.28,DEBIT
2026-08-22,STRIPE PAYOUT,305.00,CREDIT
2026-08-22,STRIPE PAYOUT,210.00,CREDIT
2026-08-22,DOORDASH DASHPASS,9.99,DEBIT
2026-08-22,SHELL OIL,15.72,DEBIT
2026-08-22,STAPLES,34.00,DEBIT
2026-08-22,STAPLES,14.17,DEBIT
2026-08-22,APPLE.COM/BILL,5.72,DEBIT
2026-08-22,APPLE.COM/BILL,6.45,DEBIT
2026-08-22,LYFT,8.90,DEBIT
2026-08-22,LYFT,19.72,DEBIT
2026-08-22,UBER,28.42,DEBIT
2026-08-22,TARGET,21.64,DEBIT
2026-08-22,STARBUCKS,17.95,DEBIT
2026-08-23,HULU,7.99,DEBIT
2026-08-23,STAPLES,7.89,DEBIT
2026-08-23,STARBUCKS,22.22,DEBIT
2026-08-23,UBER,10.64,DEBIT
2026-08-23,AMAZON MKTPL,29.49,DEBIT
2026-08-23,AMAZON MKTPL,29.44,DEBIT
2026-08-23,STARBUCKS,3.94,DEBIT
2026-08-23,LYFT,22.75,DEBIT
2026-08-23,LYFT,13.03,DEBIT
2026-08-23,AMAZON MKTPL,5.31,DEBIT
2026-08-23,SHELL OIL,27.98,DEBIT
2026-08-23,SHELL OIL,20.85,DEBIT
2026-08-23,UBER,8.95,DEBIT
2026-08-24,GRAMMARLY BUSINESS,25.00,DEBIT
2026-08-24,AMAZON MKTPL,29.27,DEBIT
2026-08-24,PARKING METER,30.83,DEBIT
2026-08-24,STAPLES,18.98,DEBIT
2026-08-24,UBER,15.48,DEBIT
2026-08-24,FEDEX OFFICE,13.82,DEBIT
2026-08-24,FEDEX OFFICE,11.30,DEBIT
2026-08-25,FEDEX OFFICE,22.56,DEBIT
2026-08-25,UBER,7.24,DEBIT
2026-08-25,TARGET,27.90,DEBIT
2026-08-25,LYFT,24.13,DEBIT
2026-08-25,UBER,20.66,DEBIT
2026-08-26,STRIPE PAYOUT,180.00,CREDIT
2026-08-26,NOTION PRO SEAT,10.00,DEBIT
2026-08-26,AMAZON MKTPL,9.07,DEBIT
2026-08-26,STARBUCKS,36.28,DEBIT
2026-08-26,AMAZON MKTPL,19.69,DEBIT
2026-08-26,STAPLES,22.13,DEBIT
2026-08-26,TARGET,21.40,DEBIT
2026-08-26,STARBUCKS,33.50,DEBIT
2026-08-26,UBER,14.16,DEBIT
2026-08-26,TARGET,28.08,DEBIT
2026-08-26,UBER,12.05,DEBIT
2026-08-26,SHELL OIL,34.19,DEBIT
2026-08-26,SHELL OIL,9.25,DEBIT
2026-08-26,FEDEX OFFICE,26.89,DEBIT
2026-08-26,LYFT,10.08,DEBIT
2026-08-26,LYFT,15.45,DEBIT
2026-08-27,DROPBOX PLUS,11.99,DEBIT
2026-08-27,LYFT,13.12,DEBIT
2026-08-27,TARGET,33.35,DEBIT
2026-08-27,STAPLES,23.98,DEBIT
2026-08-27,AMAZON MKTPL,29.46,DEBIT
2026-08-28,STRIPE PAYOUT,265.00,CREDIT
2026-08-28,OFFICE SUPPLIES CO,47.80,DEBIT
2026-08-28,AMAZON MKTPL,31.35,DEBIT
2026-08-28,AMAZON MKTPL,35.46,DEBIT
2026-08-28,TARGET,11.17,DEBIT
2026-08-28,STARBUCKS,15.64,DEBIT
2026-08-28,AMAZON MKTPL,27.75,DEBIT
2026-08-28,LYFT,21.65,DEBIT
2026-08-28,APPLE.COM/BILL,36.90,DEBIT
2026-08-28,FEDEX OFFICE,21.80,DEBIT
2026-08-28,SHELL OIL,15.19,DEBIT
2026-08-29,CALENDLY PREMIUM,14.99,DEBIT
2026-08-29,FEDEX OFFICE,26.09,DEBIT
2026-08-29,TARGET,8.10,DEBIT
2026-08-29,SHELL OIL,28.48,DEBIT
2026-08-29,SHELL OIL,8.18,DEBIT
2026-08-29,AMAZON MKTPL,18.65,DEBIT
2026-08-29,UBER,34.51,DEBIT
2026-08-29,LYFT,25.42,DEBIT
2026-08-29,STAPLES,6.06,DEBIT
2026-08-30,STRIPE PAYOUT,195.00,CREDIT
2026-08-30,ADOBE TRIAL UPGRADE,14.99,DEBIT
2026-08-30,PARKING METER,7.93,DEBIT
2026-08-30,FEDEX OFFICE,19.81,DEBIT
2026-08-30,TARGET,34.45,DEBIT
2026-08-30,AMAZON MKTPL,32.30,DEBIT
2026-08-30,PARKING METER,11.73,DEBIT
2026-08-30,TARGET,27.28,DEBIT
2026-08-30,SHELL OIL,32.30,DEBIT
2026-08-30,SHELL OIL,5.01,DEBIT
2026-08-30,APPLE.COM/BILL,14.59,DEBIT
2026-08-30,UBER,13.40,DEBIT
2026-08-30,PARKING METER,29.68,DEBIT
2026-08-30,STAPLES,4.20,DEBIT
2026-08-30,PARKING METER,28.12,DEBIT
2026-08-30,SHELL OIL,26.02,DEBIT
2026-08-31,PARKING METER,17.52,DEBIT
